     RUTE
1	1770	1
2	1770	2
3	1770	3
4	1770	4
5	1770	5
6	1770	9
7	12572	1
8	12572	2
9	12572	3
10	12572	4
11	12572	5
12	12572	6
13	12572	7
14	12572	8
15	12572	9
16	12574	1
17	12574	2
18	12574	3
19	12574	4
20	12574	5
21	12574	6
22	12574	7
23	12574	8
24	12574	9
25	13702	1
26	13702	2
27	13702	3
28	13702	4
29	13702	5
30	13702	6
31	13702	7
32	13702	8
33	13702	9
34	12573	9
35	12573	8
36	12573	7
37	12573	6
38	12573	5
39	12573	4
40	12573	3
41	12573	2
42	12573	1
43	12575	9
44	12575	8
45	12575	7
46	12575	6
47	12575	5
48	12575	4
49	12575	3
50	12575	2
51	12575	1
52	1773	9
53	1773	5
54	1773	4
55	1773	3
56	1773	2
57	1773	1
58	13701	9
59	13701	12
60	13701	8
61	13701	7
62	13701	6
63	13701	5
64	13701	4
65	13701	3
66	13701	2
67	13701	1
68	473	39
69	473	35
70	473	33
71	473	31
72	473	24
73	473	20
74	473	9
75	1642	39
76	1642	35
77	1642	31
78	1642	24
79	1642	22
80	1642	20
81	1642	9
82	3002	39
83	3002	38
84	3002	36
85	3002	35
86	3002	34
87	3002	33
88	3002	32
89	3002	31
90	3002	30
91	3002	29
92	3002	28
93	3002	27
94	3002	26
95	3002	25
96	3002	24
97	3002	23
98	3002	22
99	3002	21
100	3002	20
101	3002	19
102	3002	18
103	3002	17
104	3002	16
105	3002	15
106	3002	14
107	3002	13
108	3002	12
109	3002	11
110	3002	10
111	3002	9
112	1632	39
113	1632	35
114	1632	33
115	1632	31
116	1632	24
117	1632	20
118	1632	9
119	1745	9
120	1745	20
121	1745	24
122	1745	25
123	1745	28
124	1745	31
125	1745	33
126	1745	34
127	1745	35
128	1745	39
129	3001	9
130	3001	10
131	3001	11
132	3001	12
133	3001	13
134	3001	14
135	3001	15
136	3001	16
137	3001	17
138	3001	18
139	3001	19
140	3001	20
141	3001	21
142	3001	22
143	3001	23
144	3001	24
145	3001	25
146	3001	26
147	3001	27
148	3001	28
149	3001	29
150	3001	30
151	3001	31
152	3001	32
153	3001	33
154	3001	34
155	3001	35
156	3001	36
157	3001	37
158	3001	38
159	3001	39
160	1631	9
161	1631	20
162	1631	24
163	1631	31
164	1631	33
165	1631	34
166	1631	35
167	1631	39
168	1586	9
169	1586	20
170	1586	24
171	1586	31
172	1586	33
173	1586	34
